Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
10/6/2025,AXSM,AXSM,S,CBOE,161
10/6/2025,AXSM,AXSM,S,EDGX,6
10/7/2025,AXSM,AXSM,S,BATS,3
10/7/2025,AXSM,AXSM,S,C2,1
10/7/2025,AXSM,AXSM,S,CBOE,1
10/7/2025,AXSM,AXSM,S,EDGX,25
10/8/2025,AXSM,AXSM,S,BATS,61
10/8/2025,AXSM,AXSM,S,CBOE,58
10/8/2025,AXSM,AXSM,S,EDGX,2
10/9/2025,AXSM,AXSM,S,BATS,29
10/9/2025,AXSM,AXSM,S,C2,4
10/9/2025,AXSM,AXSM,S,CBOE,25
10/9/2025,AXSM,AXSM,S,EDGX,83
10/10/2025,AXSM,AXSM,S,BATS,9
10/10/2025,AXSM,AXSM,S,C2,2
10/10/2025,AXSM,AXSM,S,CBOE,1
10/10/2025,AXSM,AXSM,S,EDGX,1
10/13/2025,AXSM,AXSM,S,BATS,2
10/13/2025,AXSM,AXSM,S,CBOE,1
10/13/2025,AXSM,AXSM,S,EDGX,20
10/14/2025,AXSM,AXSM,S,BATS,67
10/14/2025,AXSM,AXSM,S,C2,2
10/14/2025,AXSM,AXSM,S,CBOE,32
10/14/2025,AXSM,AXSM,S,EDGX,7
10/15/2025,AXSM,AXSM,S,BATS,39
10/15/2025,AXSM,AXSM,S,C2,24
10/15/2025,AXSM,AXSM,S,CBOE,24
10/15/2025,AXSM,AXSM,S,EDGX,12
10/16/2025,AXSM,AXSM,S,BATS,113
10/16/2025,AXSM,AXSM,S,C2,27
10/16/2025,AXSM,AXSM,S,CBOE,6
10/16/2025,AXSM,AXSM,S,EDGX,99
10/17/2025,AXSM,AXSM,S,CBOE,22
10/17/2025,AXSM,AXSM,S,EDGX,112
10/20/2025,AXSM,AXSM,S,BATS,140
10/20/2025,AXSM,AXSM,S,C2,10
10/20/2025,AXSM,AXSM,S,CBOE,35
10/20/2025,AXSM,AXSM,S,EDGX,10
10/21/2025,AXSM,AXSM,S,BATS,6
10/21/2025,AXSM,AXSM,S,CBOE,3
10/21/2025,AXSM,AXSM,S,EDGX,1
10/22/2025,AXSM,AXSM,S,BATS,1
10/22/2025,AXSM,AXSM,S,EDGX,15
10/23/2025,AXSM,AXSM,S,BATS,3
10/23/2025,AXSM,AXSM,S,CBOE,3
10/24/2025,AXSM,AXSM,S,BATS,28
10/24/2025,AXSM,AXSM,S,CBOE,4
10/24/2025,AXSM,AXSM,S,EDGX,6
10/27/2025,AXSM,AXSM,S,BATS,40
10/27/2025,AXSM,AXSM,S,CBOE,3
10/28/2025,AXSM,AXSM,S,BATS,17
10/28/2025,AXSM,AXSM,S,C2,1
10/28/2025,AXSM,AXSM,S,CBOE,35
10/28/2025,AXSM,AXSM,S,EDGX,104
10/29/2025,AXSM,AXSM,S,CBOE,1
10/29/2025,AXSM,AXSM,S,EDGX,27
10/30/2025,AXSM,AXSM,S,BATS,60
10/30/2025,AXSM,AXSM,S,CBOE,14
10/30/2025,AXSM,AXSM,S,EDGX,12
10/31/2025,AXSM,AXSM,S,BATS,13
10/31/2025,AXSM,AXSM,S,C2,15
10/31/2025,AXSM,AXSM,S,CBOE,62
10/31/2025,AXSM,AXSM,S,EDGX,2
11/3/2025,AXSM,AXSM,S,BATS,27
11/3/2025,AXSM,AXSM,S,C2,20
11/3/2025,AXSM,AXSM,S,CBOE,56
11/3/2025,AXSM,AXSM,S,EDGX,23
11/4/2025,AXSM,AXSM,S,BATS,5
11/4/2025,AXSM,AXSM,S,CBOE,5
11/4/2025,AXSM,AXSM,S,EDGX,7
11/5/2025,AXSM,AXSM,S,BATS,2
11/5/2025,AXSM,AXSM,S,C2,6
11/5/2025,AXSM,AXSM,S,CBOE,23
11/5/2025,AXSM,AXSM,S,EDGX,4
11/6/2025,AXSM,AXSM,S,BATS,21
11/6/2025,AXSM,AXSM,S,C2,16
11/6/2025,AXSM,AXSM,S,CBOE,40
11/6/2025,AXSM,AXSM,S,EDGX,49
11/7/2025,AXSM,AXSM,S,BATS,9
11/7/2025,AXSM,AXSM,S,C2,1
11/7/2025,AXSM,AXSM,S,CBOE,102
11/10/2025,AXSM,AXSM,S,BATS,8
11/10/2025,AXSM,AXSM,S,C2,20
11/10/2025,AXSM,AXSM,S,CBOE,7
11/10/2025,AXSM,AXSM,S,EDGX,5
11/11/2025,AXSM,AXSM,S,BATS,4
11/11/2025,AXSM,AXSM,S,C2,3
11/11/2025,AXSM,AXSM,S,CBOE,205
11/11/2025,AXSM,AXSM,S,EDGX,10
11/12/2025,AXSM,AXSM,S,BATS,30
11/12/2025,AXSM,AXSM,S,C2,24
11/12/2025,AXSM,AXSM,S,CBOE,87
11/12/2025,AXSM,AXSM,S,EDGX,49
11/13/2025,AXSM,AXSM,S,BATS,59
11/13/2025,AXSM,AXSM,S,CBOE,24
11/13/2025,AXSM,AXSM,S,EDGX,20
11/14/2025,AXSM,AXSM,S,BATS,75
11/14/2025,AXSM,AXSM,S,C2,3
11/14/2025,AXSM,AXSM,S,CBOE,208
11/14/2025,AXSM,AXSM,S,EDGX,10
11/17/2025,AXSM,AXSM,S,BATS,40
11/17/2025,AXSM,AXSM,S,C2,16
11/17/2025,AXSM,AXSM,S,CBOE,366
